The Future Professionalsl,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attendance Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Mon,Tue,Wed,,Summary,,,,,,,,,,,
,Student ID,Student Name, Joining date,Due Date,Class,Class,1-Dec,2-Dec,3-Dec,4-Dec,5-Dec,6-Dec,7-Dec,8-Nov,9-Nov,10-Nov,11-Nov,12-Nov,13-Nov,14-Nov,15-Nov,16-Nov,17-Nov,18-Nov,19-Nov,20-Nov,21-Nov,22-Nov,23-Dec,24-Nov,25-Nov,26-Dec,27-Dec,28-Nov,29-Nov,30-Nov,31-Nov,Present,Absent,Total,Percent,# of abs,,,,,,,
,1,Name 1,3-Feb-20,1st of every month,A2,A2,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,,,,,18,0,18,100.00%,25,25,,,,,,
,2,Name 2,1-Feb-21,1st of every month,A2,A2,P,A,,,P,A,A,A,A,,,A,A,P,A,P,,,P,A,A,A,A,,,A,A,,,,,4,14,18,22.22%,6,1,6,1,6,,,
,3,Name 3,26-Jul-22,1st of every month,A2,A2,A,N,,,A,A,A,A,A,,,A,A,A,A,A,,,A,A,A,A,A,,,A,A,,,,,0,17,17,0.00%,17,1,17,,,,,
,4,Name 4,4-Aug-22,1st of every month,AS,A2,P,P,,,A,A,A,P,A,,,A,P,P,P,P,,,P,P,A,P,A,,,P,A,,,,,10,8,18,55.56%,1,3,2,1,1,1,,
,5,Name 5,29-Aug-22,,A2,A2,N,N,,,N,N,N,N,N,,,N,N,N,N,N,,,N,N,N,N,N,,,N,N,,,,,0,0,0,0.00%,25,25,,,,,,
,6,Name 6,29-Aug-22,1st of every month,AS,AS,P,P,,,P,P,P,A,A,,,P,P,A,P,A,,,A,P,A,P,P,,,P,P,,,,,12,6,18,66.67%,1,2,1,2,1,,,
,7,Name 7,1-Sep-21,1st of every month,A2,A2,P,P,,,P,P,P,P,P,,,A,P,P,P,P,,,P,P,A,P,P,,,P,P,,,,,16,2,18,88.89%,1,1,1,,,,,
,8,Name 8,5-Aug-19,1st of every month,A2,A2,A,A,,,P,P,A,P,A,,,P,P,P,P,A,,,P,A,A,P,A,,,A,A,,,,,9,9,18,50.00%,3,2,1,1,1,2,3,
,9,Name 9,19-Aug-20,1st of every month,A2,A2,P,P,,,P,P,P,P,A,,,A,P,P,P,P,,,P,P,P,A,P,,,P,P,,,,,15,3,18,83.33%,1,2,1,,,,,
,10,Name 10,3-Dec-21,1st of every month,A2,AS,P,P,,,P,P,P,P,A,,,P,P,P,P,P,,,A,A,A,P,P,,,P,P,,,,,14,4,18,77.78%,3,1,3,,,,,
,11,Name 11,8-Feb-22,1st of every month,A2,AS,P,P,,,P,A,A,P,P,,,A,A,A,P,P,,,P,P,A,P,P,,,P,A,,,,,11,7,18,61.11%,1,2,3,1,1,,,
,12,Name 12,26-Jan-22,26th of every month,AS,AS,P,P,,,A,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,A,,,P,P,,,,,16,2,18,88.89%,1,1,1,,,,,
,13,Name 13,11-May-22,1st of every month,A2,AS,P,P,,,P,P,A,P,A,,,P,P,P,P,A,,,P,P,P,P,A,,,P,P,,,,,14,4,18,77.78%,1,1,1,1,1,,,
,14,Name 14,23-Jun-22,20th of every month,A2,AS,P,P,,,P,P,A,A,A,,,P,A,A,A,A,,,P,P,P,P,P,,,P,P,,,,,11,7,18,61.11%,4,3,4,,,,,
,15,Name 15,20-Jul-22,20th of every month,A2,AS,P,P,,,P,P,P,P,A,,,P,P,P,P,P,,,A,P,P,A,P,,,P,P,,,,,15,3,18,83.33%,1,1,1,1,,,,
,16,Name 16,20-Jul-22,1st of every month,AS,AS,P,P,,,P,A,P,P,A,,,P,A,A,P,P,,,P,P,A,A,P,,,P,A,,,,,11,7,18,61.11%,1,1,1,2,2,1,,
,17,Name 17,27-Jul-22,1st of every month,A2,AS,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,,,,,18,0,18,100.00%,25,25,,,,,,
,18,Name 18,27-Jul-22,1st of every month,AS,AS,P,P,,,P,A,P,P,P,,,P,P,P,P,P,,,A,A,P,P,P,,,A,A,,,,,13,5,18,72.22%,2,1,2,2,,,,
,19,Name 19,1-Aug-21,1st of every month,AS,AS,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,P,P,P,,,P,P,,,,,18,0,18,100.00%,25,25,,,,,,
,20,Name 20,1-Aug-22,1st of every month,AS,AS,P,P,,,P,P,P,P,P,,,P,P,A,P,A,,,P,P,P,P,P,,,P,P,,,,,16,2,18,88.89%,1,1,1,,,,,
